Year,College Code,Branch Code,Caste,Mark
2018,2,PP,OC,192.25
2018,2,PP,BC,189.75
2018,2,PP,BCM,186.25
2018,2,PP,MBC,187.0
2018,2,PP,SC,174.75
2018,2,PP,SCA,161.75
2018,2,PP,ST,165.75
2018,2,TX,OC,190.0
2018,2,TX,BC,188.25
2018,2,TX,BCM,183.0
2018,2,TX,MBC,185.0
2018,2,TX,SC,175.25
2018,2,TX,SCA,180.75
2018,2,TX,ST,160.5
2018,4,AE,OC,197.25
2018,4,AE,BC,195.75
2018,4,AE,BCM,194.25
2018,4,AE,MBC,194.33
2018,4,AE,SC,191.0
2018,4,AE,SCA,185.5
2018,4,AE,ST,
2018,4,AS,OC,192.67
2018,4,AS,BC,191.5
2018,4,AS,BCM,190.0
2018,4,AS,MBC,189.5
2018,4,AS,SC,178.75
2018,4,AS,SCA,158.0
2018,4,AS,ST,
2018,4,AU,OC,195.33
2018,4,AU,BC,194.25
2018,4,AU,BCM,191.75
2018,4,AU,MBC,193.0
2018,4,AU,SC,182.25
2018,4,AU,SCA,179.0
2018,4,AU,ST,171.25
2018,4,CM,OC,197.25
2018,4,CM,BC,197.0
2018,4,CM,BCM,194.75
2018,4,CM,MBC,195.75
2018,4,CM,SC,187.0
2018,4,CM,SCA,174.0
2018,4,CM,ST,
2018,4,CS,OC,198.0
2018,4,CS,BC,197.5
2018,4,CS,BCM,197.5
2018,4,CS,MBC,196.5
2018,4,CS,SC,192.25
2018,4,CS,SCA,189.25
2018,4,CS,ST,185.5
2018,4,EC,OC,197.75
2018,4,EC,BC,197.5
2018,4,EC,BCM,196.5
2018,4,EC,MBC,196.75
2018,4,EC,SC,194.0
2018,4,EC,SCA,191.75
2018,4,EC,ST,183.5
2018,4,EI,OC,196.5
2018,4,EI,BC,195.75
2018,4,EI,BCM,192.0
2018,4,EI,MBC,194.75
2018,4,EI,SC,187.75
2018,4,EI,SCA,184.5
2018,4,EI,ST,166.0
2018,4,EM,OC,196.75
2018,4,EM,BC,196.5
2018,4,EM,BCM,192.25
2018,4,EM,MBC,195.5
2018,4,EM,SC,186.75
2018,4,EM,SCA,170.75
2018,4,EM,ST,172.5
2018,4,EX,OC,195.25
2018,4,EX,BC,194.75
2018,4,EX,BCM,191.5
2018,4,EX,MBC,193.5
2018,4,EX,SC,182.5
2018,4,EX,SCA,167.0
2018,4,EX,ST,
2018,4,IM,OC,196.5
2018,4,IM,BC,195.75
2018,4,IM,BCM,193.75
2018,4,IM,MBC,194.25
2018,4,IM,SC,183.0
2018,4,IM,SCA,166.5
2018,4,IM,ST,170.75
2018,4,MF,OC,196.5
2018,4,MF,BC,196.25
2018,4,MF,BCM,194.0
2018,4,MF,MBC,195.0
2018,4,MF,SC,190.0
2018,4,MF,SCA,182.75
2018,4,MF,ST,168.75
2018,4,PR,OC,193.5
2018,4,PR,BC,192.25
2018,4,PR,BCM,189.75
2018,4,PR,MBC,189.75
2018,4,PR,SC,178.0
2018,4,PR,SCA,169.5
2018,4,PR,ST,119.75
2018,4,RP,OC,190.0
2018,4,RP,BC,188.0
2018,4,RP,BCM,185.25
2018,4,RP,MBC,185.5
2018,4,RP,SC,172.0
2018,4,RP,SCA,146.75
2018,4,RP,ST,141.75
2018,1013,CS,OC,175.0
2018,1013,CS,BC,161.75
2018,1013,CS,BCM,159.25
2018,1013,CS,MBC,163.5
2018,1013,CS,SC,143.5
2018,1013,CS,SCA,
2018,1013,CS,ST,118.0
2018,1013,EC,OC,173.5
2018,1013,EC,BC,148.0
2018,1013,EC,BCM,162.5
2018,1013,EC,MBC,165.5
2018,1013,EC,SC,139.5
2018,1013,EC,SCA,157.75
2018,1013,EC,ST,
2018,1013,IT,OC,165.25
2018,1013,IT,BC,150.75
2018,1013,IT,BCM,158.75
2018,1013,IT,MBC,153.75
2018,1013,IT,SC,136.75
2018,1013,IT,SCA,90.5
2018,1013,IT,ST,
2018,1013,ME,OC,168.75
2018,1013,ME,BC,157.25
2018,1013,ME,BCM,162.5
2018,1013,ME,MBC,160.5
2018,1013,ME,SC,130.75
2018,1013,ME,SCA,136.75
